SurveyID,BiomassKgHa,Lat_DD,Long_DD,Easting,Northing,Habitat,Depth,CensusMethod,MPAage,NTZarea,Management,logGrav_NearMarket,logGrav_NearPop,ECOREGION,REALM,PROVINCE,SST_mean_2yr,SST_max_2yr,SST_sd_2yr,logSST_kurtosis_2yr,SST_skewness_2yr,SSTa_mean_2yr,logDHW_mean_2yr,logDHW_max_2yr,logChlA_mean_2yr,logChlA_max_2yr,PAR_mean_2yr,PAR_sd_2yr,PAR_skewness_2yr,logPAR_kurtosis_2yr,logwave_mean,Year,SpatialBlockFold,DistNearMPA_Km
RG1,488.9260408999997,-22.73858,43.31377,3999924.742871398,-2431940.0461074887,Slope,>10m,Belt transect,0,0,Fished,2.08219190522262,2.96406736986661,Western and Northern Madagascar,Western Indo-Pacific,Western Indian Ocean,26.7086849315068,30.67,2.09750074596737,0.480149479867733,0.0420481647849616,0.117931504213341,-1.96191426883655,0.0198026049444372,-0.644618598784395,0.9247147182815,45.2517662811279,11.0632657409243,0.259911629885553,0.554785109499869,3.31230163610296,2008,6,1142.4021458605823
RG2,337.61797920000123,-22.72154,43.30323,3999078.761665343,-2430117.572715638,Slope,>10m,Belt transect,0,0,UnfishedLow,1.88375587545359,-1.76666966000876,Western and Northern Madagascar,Western Indo-Pacific,Western Indian Ocean,26.479904109589,30.38,2.03304305196645,0.580604283033626,0.256622763385827,-0.110821915331156,-3.98297476375217,-1.23787437835336,-1.07699469385692,1.23302741631384,47.1725246166361,12.7779442759083,-0.0910514332176553,0.332343680888439,3.31230163610296,2015,6,1140.5578815132171
RG3,1216.6506690000015,-22.68017,43.28685,3997874.651198743,-2425692.938692016,Slope,>10m,Belt transect,0,0,Fished,0.911062277939248,1.05257091872012,Western and Northern Madagascar,Western Indo-Pacific,Western Indian Ocean,26.723602739726,30.65,2.09712665951668,0.474687513850083,0.0379485067952203,0.116986298755015,-1.98677497506279,-0.010050358205244,-0.90143107237142,0.85246708373471,46.8144039154053,11.9074801261956,0.114875224075072,0.352668665016655,3.30952298213757,2008,6,1136.0468315041142
RG4,271.5801005999997,-22.62416,43.26807,3996556.6641226457,-2419702.5117313624,Slope,>10m,Belt transect,0,0,UnfishedLow,1.53911529566335,-2.3481092897783,Western and Northern Madagascar,Western Indo-Pacific,Western Indian Ocean,26.5031506849315,30.42,2.03624238824425,0.58351483027322,0.244325765674175,-0.110150682469447,-3.32728514572712,-1.23787437835336,-0.928616511446218,1.0845883825646,46.6607120776999,12.7089183272921,0.0502445686865899,0.385547331823296,3.30200584159236,2015,6,1129.929757304432
RG5,829.4601142999975,-22.62172,43.26015,3995843.2262402354,-2419441.5467407466,Slope,>10m,Belt transect,0,0,Fished,1.53911529566335,-2.3481092897783,Western and Northern Madagascar,Western Indo-Pacific,Western Indian Ocean,26.7293561643836,30.64,2.10018805004173,0.470011149570702,0.0340656915034349,0.11602739466686,-2.00349575140904,-0.030459229836451,-0.272571018448424,1.36209651751626,46.6457196807861,11.2725689774872,0.263545957565515,0.456120759831208,3.30200584159236,2008,6,1129.6947293070477
RG6,258.6299491000012,-22.62129,43.25768,3995618.2692130324,-2419395.557007674,Slope,>10m,Belt transect,0,0,UnfishedLow,1.53911529566335,-2.3481092897783,Western and Northern Madagascar,Western Indo-Pacific,Western Indian Ocean,26.5031506849315,30.42,2.03624238824425,0.58351483027322,0.244325765674175,-0.110150682469447,-3.32728514572712,-1.23787437835336,-0.926872066173833,1.0845883825646,46.6607120776999,12.7089183272921,0.0502445686865899,0.385547331823296,3.30200584159236,2015,6,1129.6581778500256
RG7,4560.947769999984,-22.6083,168.9416,15605146.295619318,-2418006.239099734,Slope,4-10m,Belt transect,0,0,Fished,-1.62547253259386,-9.85975329078572,New Caledonia,Central Indo-Pacific,Tropical Southwestern Pacific,24.9278356164384,27.85,1.44742170861522,0.615565169573924,0.148123827738223,0.480397249536257,-6.59304455649418,-1.96611287872458,-2.00461904704242,-0.363510999391548,41.3826825177228,17.4664158057589,-0.34527933992877,0.817348501957343,3.64120388750378,2015,3,110.77954909330286
RG8,1300.9513799999997,-22.607,168.9493,15605895.199380392,-2417867.200339311,Slope,4-10m,Belt transect,0,0,Fished,-1.62547253259386,-9.85975329078572,New Caledonia,Central Indo-Pacific,Tropical Southwestern Pacific,24.9278356164384,27.85,1.44742170861522,0.615565169573924,0.148123827738223,0.480397249536257,-6.59304455649418,-1.96611287872458,-2.00246434739836,-0.363510999391548,41.3826825177228,17.4664158057589,-0.34527933992877,0.817348501957343,3.64120388750378,2015,3,110.90632904342664
RG9,738.3308899999987,-22.6025,168.9456,15605683.747666528,-2417385.9122990216,Slope,4-10m,Belt transect,0,0,Fished,-1.62547253259386,-9.85975329078572,New Caledonia,Central Indo-Pacific,Tropical Southwestern Pacific,24.9278356164384,27.85,1.44742170861522,0.615565169573924,0.148123827738223,0.480397249536257,-6.59304455649418,-1.96611287872458,-1.99837602391936,-0.363510999391548,41.3826825177228,17.4664158057589,-0.34527933992877,0.817348501957343,3.64120388750378,2015,3,111.41286280214229
RG10,1059.8467900000019,-22.6007,168.948,15605957.557377523,-2417193.39707274,Slope,4-10m,Belt transect,0,0,Fished,-1.62547253259386,-9.85975329078572,New Caledonia,Central Indo-Pacific,Tropical Southwestern Pacific,24.9278356164384,27.85,1.44742170861522,0.615565169573924,0.148123827738223,0.480397249536257,-6.59304455649418,-1.96611287872458,-1.99881470297862,-0.363510999391548,41.3826825177228,17.4664158057589,-0.34527933992877,0.817348501957343,3.64120388750378,2015,3,111.60682249532917
